15xxxxxx6,HTA,CH,8.1,GE,MM B.Tech,CE B.Tech,MM Dual Deg Y1,CL B.Tech,MM Dual Deg Y2,EE B.Tech,ME B.Tech,,,,,,,,
15xxxxxx2,HTA,MM B.Tech,7.86,GE,CS B.Tech,ME B.Tech,ME Dual Deg M2,CE B.Tech,,,,,,,,,,,
15xxxxxx0,HUL,ME B.Tech,9.33,GE,EE B.Tech,,,,,,,,,,,,,,
15xxxxxx7,HUR,EE Dual Deg E1,8.84,GE,EE B.Tech,,,,,,,,,,,,,,
15xxxxxx8,HYA,EN Dual Deg,8.33,GE,EE B.Tech,ME B.Tech,ME Dual Deg M2,,,,,,,,,,,,
15xxxxxx5,JAN,EP Dual Deg N1,8.32,GE,EP B.Tech,,,,,,,,,,,,,,
15xxxxxx9,JAR,EN Dual Deg,8.91,GE,CS B.Tech,EE B.Tech,EE Dual Deg E1,EE Dual Deg E2,ME B.Tech,ME Dual Deg M2,,,,,,,,,
15xxxxxx4,JAT,MM B.Tech,6.93,GE,CS B.Tech,EE B.Tech,EE Dual Deg E2,EE Dual Deg E1,ME B.Tech,ME Dual Deg M2,,,,,,,,,
15xxxxxx9,KAR,CH,9.39,GE,CS B.Tech,EE B.Tech,EE Dual Deg E1,EE Dual Deg E2,ME B.Tech,ME Dual Deg M2,EP B.Tech,CL B.Tech,AE B.Tech,CE B.Tech,MM B.Tech,EP Dual Deg N1,MM Dual Deg Y1,MM Dual Deg Y2,EN Dual Deg
15xxxxxx7,kar,ME Dual Deg M2,9.35,GE,AE B.Tech,EE B.Tech,EE Dual Deg E2,ME B.Tech,EE Dual Deg E1,,,,,,,,,,
15xxxxxx1,kar,ME Dual Deg M2,8.44,GE,EE B.Tech,ME B.Tech,,,,,,,,,,,,,
15xxxxxx0,lan,MM B.Tech,7.94,GE,ME B.Tech,,,,,,,,,,,,,,
15xxxxxx6,LIA,CL B.Tech,8.67,GE,CS B.Tech,ME B.Tech,,,,,,,,,,,,,
15xxxxxx1,MAR,EE B.Tech,9.95,GE,CS B.Tech,,,,,,,,,,,,,,
15xxxxxx1,MAR,CL B.Tech,8.84,GE,CS B.Tech,EE B.Tech,,,,,,,,,,,,,
15xxxxxx4,MAY,ME B.Tech,9.57,GE,CS B.Tech,,,,,,,,,,,,,,
15xxxxxx7,NAN,CL B.Tech,9.49,GE,CS B.Tech,EE B.Tech,,,,,,,,,,,,,
15xxxxxx1,NAN,AE B.Tech,8.84,GE,CS B.Tech,EE B.Tech,,,,,,,,,,,,,
15xxxxxx4,NEY,AE B.Tech,8.84,GE,EE B.Tech,EE Dual Deg E2,EE Dual Deg E1,ME B.Tech,,,,,,,,,,,
15xxxxxx8,NIL,EE B.Tech,9.4,GE,CS B.Tech,,,,,,,,,,,,,,
15xxxxxx6,NON,CL B.Tech,8.13,GE,ME B.Tech,EE B.Tech,,,,,,,,,,,,,
